"subject","dossier_route","subject_type","power_sectors","power_roles","record_id","legal_lane","conduct_domains","victim_class","record_date","jurisdiction","status","outcome","evidence_grade","source_label","source_url","right_of_reply","counter_evidence","proof_needed","boundary"
"David James Clarke","dossier-david-james-clarke.html","person","School, university, academy or education-system authority","Teacher and photography-club leader, Newlands School, Seaford (not stated – historical offending period)","david-james-clarke-conviction-2026","Convictions / Final Criminal Judgments","Sexual abuse of a child | Indecent assault or jurisdictional equivalent | Creation, possession, distribution or facilitation of child sexual abuse material | Criminal grooming or solicitation of a child","boys | school pupils | children in residential education","2026-06-01","England and Wales","adjudicated","Twenty-six years' imprisonment.","A","CPS: former private-school teacher jailed","https://www.cps.gov.uk/cps/news/former-private-school-teacher-jailed-multiple-non-recent-sexual-assaults","Clarke contested charges at trial and was convicted.","The convictions establish Clarke's conduct. They do not establish knowledge or culpability of every teacher, administrator or former pupil.","Maintain count-by-count verdicts, sentencing order and any institutional-review findings.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Abdul Halim Khan","dossier-abdul-halim-khan.html","person","Religious leadership or institutional authority","Imam and trusted religious leader, East London mosque and local Muslim community (2004 or earlier – 2015 or later)","abdul-halim-khan-conviction-2026","Convictions / Final Criminal Judgments","Rape or equivalent penetrative sexual offence | Sexual assault or equivalent non-consensual sexual offence | Sexual abuse of a child | Criminal grooming or solicitation of a child","women | teenage girls | community members","2026-05-14","England and Wales","adjudicated","Life imprisonment with a minimum term of 20 years.","A","CPS: former imam jailed","https://www.cps.gov.uk/cps/news/former-imam-jailed-sexually-abusing-seven-women-and-girls","Khan contested the allegations at trial and was convicted by a jury.","The conviction establishes Khan's crimes and abuse of authority; it does not implicate the mosque, faith community or other religious leaders without separate evidence.","Maintain verdict counts, sentencing order and any institution-specific safeguarding findings.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Conor McGrath","dossier-conor-mcgrath.html","person","Elected or appointed public office","Local councillor, Local government in Hertfordshire (not stated – before 2026 sentence)","conor-mcgrath-iico-conviction-2026","Convictions / Final Criminal Judgments","Creation, possession, distribution or facilitation of child sexual abuse material","children depicted in indecent images","2026-04-17","England and Wales","adjudicated","Eight-month prison sentence suspended for two years and ten-year sexual-harm-prevention order.","A","CPS: former councillor sentenced","https://www.cps.gov.uk/thames-and-chiltern/news/former-councillor-sentenced-possessing-hundreds-indecent-images-children","McGrath pleaded guilty to all three counts.","The conviction concerns image offenses. It does not establish contact abuse, use of council systems or wrongdoing by political colleagues.","Maintain exact plea, sentencing order and council resignation or disciplinary records separately.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Ghislaine Maxwell","dossier-ghislaine-maxwell-criminal.html","person","Other documented authority, fame, access, succession, patronage or gatekeeping influence","Social and operational gatekeeper in Jeffrey Epstein's network, Epstein-Maxwell network (1994 – 2004)","maxwell-conviction-2021","Convictions / Final Criminal Judgments","Sexual abuse of a child | Commercial or non-commercial sexual exploitation of a child | Criminal grooming or solicitation of a child","minor girls","2021-12-29","United States federal court, SDNY","adjudicated","Jury conviction; 20-year sentence imposed June 2022.","A","SDNY verdict statement","https://www.justice.gov/usao-sdny/pr/statement-us-attorney-damian-williams-verdict-us-v-ghislaine-maxwell","Maxwell denied the allegations and exercised trial and appellate rights.","The conviction establishes her own offenses and role; it does not establish criminal conduct by every person she or Epstein knew.","Preserve verdict, judgment, sentencing transcript and appellate dispositions.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Ghislaine Maxwell","dossier-ghislaine-maxwell-criminal.html","person","Other documented authority, fame, access, succession, patronage or gatekeeping influence","Social and operational gatekeeper in Jeffrey Epstein's network, Epstein-Maxwell network (1994 – 2004)","maxwell-appeal-2025","Acquittals / Dismissals / Reversals / Responses","Sexual abuse of a child | Commercial or non-commercial sexual exploitation of a child | Criminal grooming or solicitation of a child","minor girls","2025-10-06","United States","closed","Certiorari denied; conviction remains in force.","A","U.S. Supreme Court docket 24-1073","https://www.supremecourt.gov/search.aspx?filename=%2Fdocket%2Fdocketfiles%2Fhtml%2Fpublic%2F24-1073.html","Maxwell continued to dispute the conviction through appellate process.","Denial of certiorari is not a separate endorsement of every lower-court rationale, but it leaves the judgment intact.","Continue tracking collateral proceedings or sentence changes.","This record preserves the outcome, denial, response, pending review or exculpatory information and must be read with the underlying allegation or judgment."
"R. Kelly","dossier-r-kelly.html","person","Media ownership, publishing, broadcasting, entertainment or celebrity influence | Founder, owner, chief executive or C-suite authority","International recording artist and celebrity, R. Kelly music career (1990s – 2019) | Leader of music-business and entourage enterprise, R. Kelly business and touring operation (1990s – 2019)","r-kelly-illinois-conviction-2022","Convictions / Final Criminal Judgments","Sexual abuse of a child | Commercial or non-commercial sexual exploitation of a child | Creation, possession, distribution or facilitation of child sexual abuse material | Criminal grooming or solicitation of a child","minor girls | young women","2022-09-14","United States federal court, Northern District of Illinois","adjudicated","Convicted on six counts; sentenced in 2023 to 20 years, mostly concurrent with the New York sentence.","A","Northern District of Illinois conviction statement","https://www.justice.gov/usao-ndil/pr/recording-artist-r-kelly-convicted-federal-child-pornography-and-exploitation-charges","Kelly denied wrongdoing and pursued appeals and petitions for Supreme Court review.","The same jury acquitted Kelly on seven other counts and acquitted both co-defendants. Those acquittals must remain visible and cannot be treated as convictions.","Maintain the judgment, sentencing record and appellate dispositions for both federal cases.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"R. Kelly","dossier-r-kelly.html","person","Media ownership, publishing, broadcasting, entertainment or celebrity influence | Founder, owner, chief executive or C-suite authority","International recording artist and celebrity, R. Kelly music career (1990s – 2019) | Leader of music-business and entourage enterprise, R. Kelly business and touring operation (1990s – 2019)","r-kelly-appellate-finality-2025","Acquittals / Dismissals / Reversals / Responses","Sexual abuse of a child | Commercial or non-commercial sexual exploitation of a child | Creation, possession, distribution or facilitation of child sexual abuse material | Other criminal sexual offence","minor girls | women","2025-06-23","United States","closed","Certiorari denied; federal convictions remain in force.","A","U.S. Supreme Court docket 24-1172","https://www.supremecourt.gov/search.aspx?filename=%2Fdocket%2Fdocketfiles%2Fhtml%2Fpublic%2F24-1172.html","Kelly continued to contest the judgments through appellate review.","Denial of certiorari is not a new factual finding and does not endorse every lower-court rationale; it leaves the judgments undisturbed.","Monitor any collateral proceedings or sentence changes.","This record preserves the outcome, denial, response, pending review or exculpatory information and must be read with the underlying allegation or judgment."
"R. Kelly","dossier-r-kelly.html","person","Media ownership, publishing, broadcasting, entertainment or celebrity influence | Founder, owner, chief executive or C-suite authority","International recording artist and celebrity, R. Kelly music career (1990s – 2019) | Leader of music-business and entourage enterprise, R. Kelly business and touring operation (1990s – 2019)","r-kelly-illinois-acquittals-2022","Acquittals / Dismissals / Reversals / Responses","Commercial or non-commercial sexual exploitation of a child | Creation, possession, distribution or facilitation of child sexual abuse material | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","minor girls | young women","2022-09-14","United States federal court, Northern District of Illinois","adjudicated","Not-guilty verdicts on seven Kelly counts and all counts against two co-defendants.","A","Northern District of Illinois verdict statement","https://www.justice.gov/usao-ndil/pr/recording-artist-r-kelly-convicted-federal-child-pornography-and-exploitation-charges","The acquittals are final trial outcomes on the specified counts.","They do not reverse the six Illinois convictions or the separate New York conviction.","Keep acquitted and convicted counts visibly separated.","This record preserves the outcome, denial, response, pending review or exculpatory information and must be read with the underlying allegation or judgment."
"Huw Edwards","dossier-huw-edwards.html","person","Media ownership, publishing, broadcasting, entertainment or celebrity influence","BBC news presenter and national broadcaster, BBC (1984 – 2024)","huw-edwards-iico-conviction-2024","Convictions / Final Criminal Judgments","Creation, possession, distribution or facilitation of child sexual abuse material","children depicted in indecent images","2024-09-16","England and Wales","adjudicated","Six-month jail sentence suspended for two years, costs and ancillary consequences.","A","CPS: ex-broadcaster sentenced","https://www.cps.gov.uk/cps/news/ex-broadcaster-sentenced-possessing-indecent-images-children","Edwards pleaded guilty to all three counts.","The conviction concerns receipt and making of indecent images under the relevant law. It does not establish contact offending or wrongdoing by BBC colleagues.","Maintain charge wording, sentencing order and any later regulatory or employment outcomes separately.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Adam Taylor","dossier-adam-taylor-nca.html","person","Police, prosecution, intelligence, security or military authority","Intelligence officer, National Crime Agency (not stated – 2022)","adam-taylor-nca-conviction-2024","Convictions / Final Criminal Judgments","Creation, possession, distribution or facilitation of child sexual abuse material","children depicted in CSAM","2024-08-02","England and Wales","adjudicated","Eighteen months' imprisonment, sexual-harm order and sex-offender notification requirements.","A","CPS: former NCA officer jailed","https://www.cps.gov.uk/cps/news/former-national-crime-agency-officer-jailed-over-indecent-images-children","Taylor pleaded guilty to the charged offenses.","The conviction establishes Taylor's misuse of office and devices. It does not establish that other NCA personnel knew of or participated in the conduct.","Maintain exact counts, sentencing order and NCA disciplinary findings.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
