"id","name","category","role","country","city","longitude","latitude","precision","maximum_uncertainty_metres","record_count","grade_a","grade_b","source_domains","source_url","review_status"
"sec-hq","U.S. Securities and Exchange Commission","regulator","securities regulator","United States","Washington, DC","-77.0091","38.8977","public-campus","1500","15559","14143","1416","sec.gov","https://www.sec.gov/contact-information/sec-directory","registry-defined"
"federal-reserve-board","Board of Governors of the Federal Reserve System","central-bank","central bank governance","United States","Washington, DC","-77.0457","38.8936","public-campus","1500","0","0","0","federalreserve.gov","https://www.federalreserve.gov/aboutthefed/contact-us-topics.htm","registry-defined"
"us-treasury","United States Department of the Treasury","government","treasury and financial policy","United States","Washington, DC","-77.0341","38.8974","public-campus","1500","220","216","4","treasury.gov|home.treasury.gov","https://home.treasury.gov/utility/contact","registry-defined"
"us-doj","United States Department of Justice","justice","federal justice department","United States","Washington, DC","-77.0251","38.8939","public-campus","1500","2151","210","1941","justice.gov","https://www.justice.gov/contact-us","registry-defined"
"fbi-hq","Federal Bureau of Investigation Headquarters","law-enforcement","federal law enforcement","United States","Washington, DC","-77.0259","38.8957","public-campus","1500","4","0","4","fbi.gov","https://www.fbi.gov/contact-us/fbi-headquarters","registry-defined"
"cia-hq","Central Intelligence Agency Headquarters","intelligence","foreign intelligence","United States","Langley area, Virginia","-77.1467","38.9517","city-centroid","25000","4","0","4","cia.gov","https://www.cia.gov/contact-cia/","registry-defined"
"nsa-hq","National Security Agency","intelligence","signals intelligence and cybersecurity","United States","Fort Meade area, Maryland","-76.7436","39.1082","city-centroid","25000","0","0","0","nsa.gov","https://www.nsa.gov/about/contact-us/","registry-defined"
"gao-hq","U.S. Government Accountability Office","oversight","public audit and oversight","United States","Washington, DC","-77.0199","38.8995","public-campus","1500","4","0","4","gao.gov","https://www.gao.gov/about/contact-us","registry-defined"
"fincen","Financial Crimes Enforcement Network","financial-intelligence","financial intelligence unit","United States","Vienna, Virginia","-77.2653","38.9012","city-centroid","25000","0","0","0","fincen.gov","https://www.fincen.gov/contact","registry-defined"
"un-hq","United Nations Headquarters","intergovernmental","multilateral governance","United States","New York","-73.968","40.7494","public-campus","1500","0","0","0","un.org","https://www.un.org/en/about-us/contact-us","registry-defined"
"imf-hq","International Monetary Fund","financial-institution","international monetary cooperation","United States","Washington, DC","-77.0443","38.8988","public-campus","1500","0","0","0","imf.org","https://www.imf.org/en/About/contact-us","registry-defined"
"world-bank-hq","World Bank Group","financial-institution","international development finance","United States","Washington, DC","-77.0426","38.8993","public-campus","1500","0","0","0","worldbank.org","https://www.worldbank.org/en/about/contacts","registry-defined"
"eu-commission","European Commission","government","European Union executive","Belgium","Brussels","4.3805","50.843","public-campus","1500","112","18","94","ec.europa.eu|commission.europa.eu|europa.eu","https://commission.europa.eu/about-european-commission/contact_en","registry-defined"
"european-parliament-brussels","European Parliament — Brussels","parliament","European Union legislature","Belgium","Brussels","4.3745","50.8389","public-campus","1500","0","0","0","europarl.europa.eu","https://www.europarl.europa.eu/at-your-service/en/contact","registry-defined"
"nato-hq","NATO Headquarters","security-alliance","collective defence alliance","Belgium","Brussels","4.4298","50.8798","public-campus","1500","0","0","0","nato.int","https://www.nato.int/cps/en/natohq/contact.htm","registry-defined"
"europol","Europol","law-enforcement","European law-enforcement cooperation","Netherlands","The Hague","4.2824","52.0787","public-campus","1500","0","0","0","europol.europa.eu","https://www.europol.europa.eu/about-europol/contact","registry-defined"
"icc","International Criminal Court","justice","international criminal court","Netherlands","The Hague","4.3582","52.1079","public-campus","1500","0","0","0","icc-cpi.int","https://www.icc-cpi.int/contact","registry-defined"
"icj","International Court of Justice","justice","principal judicial organ of the United Nations","Netherlands","The Hague","4.2955","52.0866","public-campus","1500","0","0","0","icj-cij.org","https://www.icj-cij.org/contact","registry-defined"
