relationship_id,from_id,from_name,from_type,relationship_type,to_id,to_name,to_type,source_title,source_url,date,publication_date,retrieval_date,evidence_grade,factual_status,review_status,extraction_method,confidence,what_is_established,what_is_not_established
relationship-7b55179222457acb1d02,missing-record-ec24f811962be678d371bfc7,content changed: U.S. Securities and Exchange Commission — Current EDGAR Filings,MissingRecord,changedAt,source-sec-current-filings,U.S. Securities and Exchange Commission — Current EDGAR Filings,Source,U.S. Securities and Exchange Commission — Current EDGAR Filings,https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent&output=atom,2026-07-11T12:51:22.471Z,,2026-07-11T12:51:22.471Z,B,source-change,automated-source-monitor,source-change-monitor,1,The normalized content returned by the registered source differs from the previously preserved version.,"The change alone does not establish wrongdoing, deliberate concealment, authenticity of every statement, or the reason for the change."
relationship-87ddef0b1744e33fae5d,document-1dd13bb46aace5b5f76aa596,Daquan Lloyd,Document,mentions,entity-governmentagency-57fdc1a57d7fac5e5193,AS TO DEFENDANT DAQUAN LLOYD The Securities and Exchange Commission,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names AS TO DEFENDANT DAQUAN LLOYD The Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-27327bc903155452b78c,document-1dd13bb46aace5b5f76aa596,Daquan Lloyd,Document,mentions,entity-legalauthority-30d4d73903606b97ec1a,Federal Rule,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Federal Rule.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-84e45abd90812ff8065f,document-1dd13bb46aace5b5f76aa596,Daquan Lloyd,Document,mentions,entity-legalauthority-357d25e851643705417a,Bankruptcy Code,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Bankruptcy Code.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-e1d2dcf2816477090e03,document-1dd13bb46aace5b5f76aa596,Daquan Lloyd,Document,mentions,entity-legalauthority-e7f1a2bb67b9d759eecc,Exchange Act,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Exchange Act.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-47e9bde73d602d283c48,document-1dd13bb46aace5b5f76aa596,Daquan Lloyd,Document,mentions,entity-legalauthority-eda4c7ce7a782f0cdeca,Securities Exchange Act,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Securities Exchange Act.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-b0f5c3758cc69fe02d9f,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-075e9a17ae7b96754d78,TO DEFENDANT CHRISTOPHER JOSEPH BONGIORNO The Securities and Exchange Commission,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names TO DEFENDANT CHRISTOPHER JOSEPH BONGIORNO The Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-5ecdbd2f36b0e6601d99,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-0fcd7c18a52dff9d8cef,United States Treasury,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names United States Treasury.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-f85c7098705183acb50f,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-23b03f6532d999f0229b,Securities and Exchange Commission,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-d780f69033834cb0f026,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-2d18cadc5ea30092c6f7,The Court,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names The Court.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-9aa0f7ca482c84149046,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-bedab65c15b8b940a995,United States Treasury. The Commission,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names United States Treasury. The Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-b20716ecf53ff9a8878f,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-governmentagency-cd1d71cf660fd8350570,Defendant. The Commission,GovernmentAgency,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,organisation-suffix-regex,0.67,The cited record names Defendant. The Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-e726081efbc9dfd58981,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-legalauthority-30d4d73903606b97ec1a,Federal Rule,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Federal Rule.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-f8b43ddc231e9f53fd78,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-legalauthority-357d25e851643705417a,Bankruptcy Code,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Bankruptcy Code.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
relationship-ef0593e5f95dc34025ed,document-21062c3794165a26e8de0095,Final Judgment - Bongiorno,Document,mentions,entity-legalauthority-4dd9429b82592fb2f8e0,Securities Act,LegalAuthority,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,2026-07-11T13:06:17.977Z,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,machine-extracted-unreviewed,legal-authority-regex,0.64,The cited record names Securities Act.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship."
