"id","title","lane","actionDate","status","termsLock","outcomeVerdict","sourceLabel","sourceUrl","accountabilityQuestion","checkpoint30","checkpoint90","checkpoint365"
"consequence-crime-state-overlap-2026-08-10-9cf6f0f4","After Runaway Ship Incident in 2024 in Charleston, South Carolina, Vessel Operator and Chief Engineer Sentenced","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/opa/pr/after-runaway-ship-incident-2024-charleston-south-carolina-vessel-operator-and-chief","What measurable public consequence followed “After Runaway Ship Incident in 2024 in Charleston, South Carolina, Vessel Operator and Chief Engineer Sentenced”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-015a2455","Ashland Man Sentenced for Receiving Child Sexual Abuse Material","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-edky/pr/ashland-man-sentenced-receiving-child-sexual-abuse-material","What measurable public consequence followed “Ashland Man Sentenced for Receiving Child Sexual Abuse Material”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-740ed0d1","Ecuadoran National Charged with Offenses Related to Theft of U.S. Treasury Funds","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-ct/pr/ecuadoran-national-charged-offenses-related-theft-us-treasury-funds","What measurable public consequence followed “Ecuadoran National Charged with Offenses Related to Theft of U.S. Treasury Funds”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-bc7b5d3f","Former Employee of Maryland State Contractor Pleads Guilty to Unemployment Benefits Fraud Charges","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-md/pr/former-employee-maryland-state-contractor-pleads-guilty-unemployment-benefits-fraud","What measurable public consequence followed “Former Employee of Maryland State Contractor Pleads Guilty to Unemployment Benefits Fraud Charges”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-6a612d71","Former Magoffin County High School Teacher Sentenced for Online Enticement of a Minor","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-edky/pr/former-magoffin-county-high-school-teacher-sentenced-online-enticement-minor","What measurable public consequence followed “Former Magoffin County High School Teacher Sentenced for Online Enticement of a Minor”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-e90b9744","Huntington Man Sentenced to Prison for Role in Drug Trafficking Organization","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-sdwv/pr/huntington-man-sentenced-prison-role-drug-trafficking-organization","What measurable public consequence followed “Huntington Man Sentenced to Prison for Role in Drug Trafficking Organization”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-b6533383","Illegal Alien Convicted in Homeland Security Task Force Case Involving Deadly Alien Smuggling Operation","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-wdtx/pr/illegal-alien-convicted-homeland-security-task-force-case-involving-deadly-alien","What measurable public consequence followed “Illegal Alien Convicted in Homeland Security Task Force Case Involving Deadly Alien Smuggling Operation”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-e6990f32","Jury convicts Army veteran of embellishing health issues to defraud the VA","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-ks/pr/jury-convicts-army-veteran-embellishing-health-issues-defraud-va","What measurable public consequence followed “Jury convicts Army veteran of embellishing health issues to defraud the VA”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-13c7fc4b","Rio Grande City man sentenced for soliciting sexually explicit images of minors","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-sdtx/pr/rio-grande-city-man-sentenced-soliciting-sexually-explicit-images-minors","What measurable public consequence followed “Rio Grande City man sentenced for soliciting sexually explicit images of minors”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
"consequence-crime-state-overlap-2026-08-10-9c1855a0","Two Charged After Alleged Meth Delivery Attempt During Prison Visitation at FCI Hazelton","crime-state-overlap","2026-08-10T12:00:00.000Z","lead-stage-contract","unlocked-pending-primary-decision-record","not-scored","DOJ News","https://www.justice.gov/usao-ndwv/pr/two-charged-after-alleged-meth-delivery-attempt-during-prison-visitation-fci-hazelton","What measurable public consequence followed “Two Charged After Alleged Meth Delivery Attempt During Prison Visitation at FCI Hazelton”, and did the evidence support the stated or implied justification?","2026-09-09T12:00:00.000Z","2026-11-08T12:00:00.000Z","2027-08-10T12:00:00.000Z"
