id,type,from,to,source_id,source_title,source_url,publication_date,retrieval_date,evidence_grade,factual_status,establishes,does_not_establish,review_status,extraction_method,confidence
relationship-7b55179222457acb1d02,changedAt,missing-record-ec24f811962be678d371bfc7,source-sec-current-filings,sec-current-filings,U.S. Securities and Exchange Commission — Current EDGAR Filings,https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent&output=atom,,2026-07-11T12:51:22.471Z,B,source-change,The normalized content returned by the registered source differs from the previously preserved version.,"The change alone does not establish wrongdoing, deliberate concealment, authenticity of every statement, or the reason for the change.",automated-source-monitor,source-change-monitor,1
relationship-87ddef0b1744e33fae5d,mentions,document-1dd13bb46aace5b5f76aa596,entity-governmentagency-57fdc1a57d7fac5e5193,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names AS TO DEFENDANT DAQUAN LLOYD The Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,organisation-suffix-regex,0.67
relationship-27327bc903155452b78c,mentions,document-1dd13bb46aace5b5f76aa596,entity-legalauthority-30d4d73903606b97ec1a,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names Federal Rule.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,legal-authority-regex,0.64
relationship-84e45abd90812ff8065f,mentions,document-1dd13bb46aace5b5f76aa596,entity-legalauthority-357d25e851643705417a,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names Bankruptcy Code.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,legal-authority-regex,0.64
relationship-e1d2dcf2816477090e03,mentions,document-1dd13bb46aace5b5f76aa596,entity-legalauthority-e7f1a2bb67b9d759eecc,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names Exchange Act.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,legal-authority-regex,0.64
relationship-47e9bde73d602d283c48,mentions,document-1dd13bb46aace5b5f76aa596,entity-legalauthority-eda4c7ce7a782f0cdeca,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/judg26545-lloyd.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names Securities Exchange Act.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,legal-authority-regex,0.64
relationship-b0f5c3758cc69fe02d9f,mentions,document-21062c3794165a26e8de0095,entity-governmentagency-075e9a17ae7b96754d78,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names TO DEFENDANT CHRISTOPHER JOSEPH BONGIORNO The Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,organisation-suffix-regex,0.67
relationship-5ecdbd2f36b0e6601d99,mentions,document-21062c3794165a26e8de0095,entity-governmentagency-0fcd7c18a52dff9d8cef,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names United States Treasury.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,organisation-suffix-regex,0.67
relationship-f85c7098705183acb50f,mentions,document-21062c3794165a26e8de0095,entity-governmentagency-23b03f6532d999f0229b,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names Securities and Exchange Commission.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,organisation-suffix-regex,0.67
relationship-d780f69033834cb0f026,mentions,document-21062c3794165a26e8de0095,entity-governmentagency-2d18cadc5ea30092c6f7,sec-litigation-releases,U.S. Securities and Exchange Commission — Litigation Releases,https://www.sec.gov/files/litigation/litreleases/2026/26526-final-judgment-bongiorno.pdf,,2026-07-11T13:06:17.977Z,B,unreviewed-source-document,The cited record names The Court.,"A textual mention does not establish guilt, control, ownership, payment, coordination or any other substantive relationship.",machine-extracted-unreviewed,organisation-suffix-regex,0.67
